"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"f:\Projects\React\broker-crm-admin-ts\src\components\loading-indicator\loading-indicator.style.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"f:\Projects\React\broker-crm-admin-ts\src\components\map-dialog\map-dialog.component.tsx", "TypeScript JSX", 0, 299, 0, 0, 0, 0, 0, 0, 0, 34, 333
"f:\Projects\React\broker-crm-admin-ts\src\components\month-dropdown\month-dropdown.component.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
"f:\Projects\React\broker-crm-admin-ts\src\components\month-dropdown\month-dropdown.style.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"f:\Projects\React\broker-crm-admin-ts\src\components\month-year-picker\month-year-picker.component.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"f:\Projects\React\broker-crm-admin-ts\src\components\motivation-table\motivation-table.component.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 0, 16, 102
"f:\Projects\React\broker-crm-admin-ts\src\components\nav-list-item\nav-list-item.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 81
"f:\Projects\React\broker-crm-admin-ts\src\components\plan-panel\plan-panel.component.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 0, 0, 0, 0, 10, 118
"f:\Projects\React\broker-crm-admin-ts\src\components\plan-table\plan-table.component.tsx", "TypeScript JSX", 0, 120, 0, 0, 0, 0, 0, 0, 0, 14, 134
"f:\Projects\React\broker-crm-admin-ts\src\components\plan-table\plan-table.style.css", "CSS", 0, 0, 0, 86, 0, 0, 0, 0, 8, 18, 112
"f:\Projects\React\broker-crm-admin-ts\src\components\profile-table\profile-table.component.tsx", "TypeScript JSX", 0, 191, 0, 0, 0, 0, 0, 0, 0, 16, 207
"f:\Projects\React\broker-crm-admin-ts\src\components\profile-table\profile-table.style.css", "CSS", 0, 0, 0, 87, 0, 0, 0, 0, 8, 18, 113
"f:\Projects\React\broker-crm-admin-ts\src\components\proofs-dialog\proofs-dialog.component.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 13, 84
"f:\Projects\React\broker-crm-admin-ts\src\components\report-panel\report-panel.component.tsx", "TypeScript JSX", 0, 232, 0, 0, 0, 0, 0, 0, 0, 7, 239
"f:\Projects\React\broker-crm-admin-ts\src\components\report-table\report-table.component.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 0, 0, 11, 118
"f:\Projects\React\broker-crm-admin-ts\src\components\report-table\report-table.style.css", "CSS", 0, 0, 0, 88, 0, 0, 0, 0, 8, 18, 114
"f:\Projects\React\broker-crm-admin-ts\src\components\revenue-panel\revenue-panel.component.tsx", "TypeScript JSX", 0, 181, 0, 0, 0, 0, 0, 0, 0, 16, 197
"f:\Projects\React\broker-crm-admin-ts\src\components\revenue-table\revenue-table.component.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 0, 0, 0, 10, 90
"f:\Projects\React\broker-crm-admin-ts\src\components\scalable-table\scalable-table.component.tsx", "TypeScript JSX", 0, 284, 0, 0, 0, 0, 0, 0, 0, 26, 310
"f:\Projects\React\broker-crm-admin-ts\src\components\scalable-table\scalable-table.style.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"f:\Projects\React\broker-crm-admin-ts\src\components\search-bar\search-bar.component.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"f:\Projects\React\broker-crm-admin-ts\src\components\search-bar\search-bar.style.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"f:\Projects\React\broker-crm-admin-ts\src\components\sidebar\sidebar.component.tsx", "TypeScript JSX", 0, 281, 0, 0, 0, 0, 0, 0, 0, 19, 300
"f:\Projects\React\broker-crm-admin-ts\src\components\sidebar\sidebar.style.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"f:\Projects\React\broker-crm-admin-ts\src\components\speciality-table\speciality-table.component.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 0, 15, 101
"f:\Projects\React\broker-crm-admin-ts\src\components\supplier-table\supplier-table.component.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 0, 15, 110
"f:\Projects\React\broker-crm-admin-ts\src\components\user-container\user-container.component.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 9, 48
"f:\Projects\React\broker-crm-admin-ts\src\components\user-details\user-details.component.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 9, 30
"f:\Projects\React\broker-crm-admin-ts\src\components\user-details\user-details.style.css", "CSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"f:\Projects\React\broker-crm-admin-ts\src\components\user-dialog\user-dialog.component.tsx", "TypeScript JSX", 0, 205, 0, 0, 0, 0, 0, 0, 0, 32, 237
"f:\Projects\React\broker-crm-admin-ts\src\components\user-dialog\user-dialog.style.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 0, 1, 16, 67
"f:\Projects\React\broker-crm-admin-ts\src\components\user-dropdown\user-dropdown.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 0, 0, 0, 10, 87
"f:\Projects\React\broker-crm-admin-ts\src\components\user-picker\user-picker.component.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 0, 12, 74
"f:\Projects\React\broker-crm-admin-ts\src\components\user-picker\user-picker.style.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 7, 6, 26
"f:\Projects\React\broker-crm-admin-ts\src\components\year-dropdown\year-dropdown.component.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 0, 11, 60
"f:\Projects\React\broker-crm-admin-ts\src\components\year-dropdown\year-dropdown.style.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"f:\Projects\React\broker-crm-admin-ts\src\components\year-picker\year-picker.component.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 12, 45
"f:\Projects\React\broker-crm-admin-ts\src\components\yes-no-dialog\yes-no-dialog.component.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"f:\Projects\React\broker-crm-admin-ts\src\functions\date-format.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 1, 15, 56
"f:\Projects\React\broker-crm-admin-ts\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
